"Journal Data Filtered By:  Selected Categories: HEALTH CARE SCIENCES & SERVICES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"JOURNAL OF HEALTH ECONOMICS","J HEALTH ECON","ELSEVIER","0167-6296","1879-1646","HEALTH CARE SCIENCES & SERVICES","SCIE","9,256","3.8"," 49/194 ",
"Lancet Regional Health-Europe","LANCET REG HEALTH-EU","ELSEVIER","2666-7762","2666-7762","HEALTH CARE SCIENCES & SERVICES","SCIE","9,075","15.7"," 2/194 ",
"PALLIATIVE MEDICINE","PALLIATIVE MED","SAGE PUBLICATIONS LTD","0269-2163","1477-030X","HEALTH CARE SCIENCES & SERVICES","SCIE","9,020","6.4"," 14/194 ",
"JMIR Formative Research","JMIR FORM RES","JMIR PUBLICATIONS, INC","N/A","2561-326X","HEALTH CARE SCIENCES & SERVICES","ESCI","8,816","2.4"," 97/194 ",
"BMJ Quality & Safety","BMJ QUAL SAF","BMJ PUBLISHING GROUP","2044-5415","2044-5423","HEALTH CARE SCIENCES & SERVICES","SCIE","8,430","6.8"," 11/194 ",
"JOURNAL OF MEDICAL SYSTEMS","J MED SYST","SPRINGER","0148-5598","1573-689X","HEALTH CARE SCIENCES & SERVICES","SCIE","8,300","8.8"," 7/194 ",
"PHARMACOECONOMICS","PHARMACOECONOMICS","ADIS INT LTD","1170-7690","1179-2027","HEALTH CARE SCIENCES & SERVICES","SCIE","8,214","4.7"," 29/194 ",
"HEALTH ECONOMICS","HEALTH ECON","WILEY","1057-9230","1099-1050","HEALTH CARE SCIENCES & SERVICES","SCIE","8,092","2"," 124/194 ",
"JOURNAL OF PALLIATIVE MEDICINE","J PALLIAT MED","SAGE PUBLICATIONS INC","1096-6218","1557-7740","HEALTH CARE SCIENCES & SERVICES","SCIE","7,816","1.8"," 136/194 ",
"HEALTH POLICY AND PLANNING","HEALTH POLICY PLANN","OXFORD UNIV PRESS","0268-1080","1460-2237","HEALTH CARE SCIENCES & SERVICES","SCIE","7,635","3.5"," 54/194 ",
"MEDICAL DECISION MAKING","MED DECIS MAKING","SAGE PUBLICATIONS INC","0272-989X","1552-681X","HEALTH CARE SCIENCES & SERVICES","SCIE","7,373","2"," 124/194 ",
"Lancet Regional Health-Western Pacific","LANCET REG HEALTH-W","ELSEVIER","N/A","2666-6065","HEALTH CARE SCIENCES & SERVICES","SCIE","7,348","9.4"," 5/194 ",
"BMC Palliative Care","BMC PALLIAT CARE","BMC","1472-684X","1472-684X","HEALTH CARE SCIENCES & SERVICES","SCIE","7,155","3.7"," 51/194 ",
"Journal of Multidisciplinary Healthcare","J MULTIDISCIP HEALTH","DOVE MEDICAL PRESS LTD","1178-2390","1178-2390","HEALTH CARE SCIENCES & SERVICES","SCIE","7,113","3"," 72/194 ",
"JOURNAL OF EVALUATION IN CLINICAL PRACTICE","J EVAL CLIN PRACT","WILEY","1356-1294","1365-2753","HEALTH CARE SCIENCES & SERVICES","SCIE","6,609","1.5"," 148/194 ",
"JBI Evidence Synthesis","JBI EVID SYNTH","LIPPINCOTT WILLIAMS & WILKINS","N/A","2689-8381","HEALTH CARE SCIENCES & SERVICES","ESCI","6,521","6.8"," 11/194 ",
"JMIR Research Protocols","JMIR RES PROTOC","JMIR PUBLICATIONS, INC","1929-0748","1929-0748","HEALTH CARE SCIENCES & SERVICES","ESCI","6,344","1.6"," 142/194 ",
"Telemedicine and e-Health","TELEMED E-HEALTH","SAGE PUBLICATIONS INC","1530-5627","1556-3669","HEALTH CARE SCIENCES & SERVICES","SCIE","6,288","2.1"," 117/194 ",
"HEALTH TECHNOLOGY ASSESSMENT","HEALTH TECHNOL ASSES","NIHR JOURNALS LIBRARY","1366-5278","2046-4924","HEALTH CARE SCIENCES & SERVICES","SCIE","5,893","3.4"," 57/194 ",
"Frontiers in Digital Health","FRONT DIGIT HEALTH","FRONTIERS MEDIA SA","N/A","2673-253X","HEALTH CARE SCIENCES & SERVICES","ESCI","5,534","5.2"," 24/194 ",
"MILBANK QUARTERLY","MILBANK Q","WILEY","0887-378X","1468-0009","HEALTH CARE SCIENCES & SERVICES","SCIE","5,495","6.2"," 17/194 ",
"JAMA Health Forum","JAMA-HEALTH FORUM","AMER MEDICAL ASSOC","2689-0186","2689-0186","HEALTH CARE SCIENCES & SERVICES","SCIE","5,374","12.5"," 3/194 ",
"Lancet Regional Health-Americas","LANCET REG HEALTH-AM","ELSEVIER","2667-193X","2667-193X","HEALTH CARE SCIENCES & SERVICES","ESCI","5,339","9.1"," 6/194 ",
"JOURNAL OF TELEMEDICINE AND TELECARE","J TELEMED TELECARE","SAGE PUBLICATIONS LTD","1357-633X","1758-1109","HEALTH CARE SCIENCES & SERVICES","SCIE","5,263","3.3"," 63/194 ",
"AMERICAN JOURNAL OF MANAGED CARE","AM J MANAG CARE","MANAGED CARE & HEALTHCARE COMMUNICATIONS LLC","1088-0224","N/A","HEALTH CARE SCIENCES & SERVICES","SCIE","5,205","2.1"," 117/194 ",
"ADVANCES IN HEALTH SCIENCES EDUCATION","ADV HEALTH SCI EDUC","SPRINGER","1382-4996","1573-1677","HEALTH CARE SCIENCES & SERVICES","SCIE","5,115","3.4"," 57/194 ",
"Risk Management and Healthcare Policy","RISK MANAG HEALTHC P","DOVE MEDICAL PRESS LTD","N/A","1179-1594","HEALTH CARE SCIENCES & SERVICES","SCIE","5,026","2.6"," 89/194 ",
"EUROPEAN JOURNAL OF CANCER CARE","EUR J CANCER CARE","WILEY","0961-5423","1365-2354","HEALTH CARE SCIENCES & SERVICES","SCIE","5,014","1.1"," 171/194 ",
"Journal of Interprofessional Care","J INTERPROF CARE","TAYLOR & FRANCIS INC","1356-1820","1469-9567","HEALTH CARE SCIENCES & SERVICES","SCIE","4,951","2.3"," 106/194 ",
"Therapeutics and Clinical Risk Management","THER CLIN RISK MANAG","DOVE MEDICAL PRESS LTD","N/A","1178-203X","HEALTH CARE SCIENCES & SERVICES","SCIE","4,733","2.6"," 89/194 ",
"PLOS Digital Health","PLOS DIGIT HEALTH","PUBLIC LIBRARY SCIENCE","N/A","2767-3170","HEALTH CARE SCIENCES & SERVICES","ESCI","4,455","7.7"," 9/194 ",
"Disability and Health Journal","DISABIL HEALTH J","ELSEVIER SCIENCE INC","1936-6574","1876-7583","HEALTH CARE SCIENCES & SERVICES","SCIE","4,352","3"," 72/194 ",
"American Journal of Hospice & Palliative Medicine","AM J HOSP PALLIAT ME","SAGE PUBLICATIONS INC","1049-9091","1938-2715","HEALTH CARE SCIENCES & SERVICES","SCIE","4,325","1.4"," 153/194 ",
"BMJ Supportive & Palliative Care","BMJ SUPPORT PALLIAT","BMJ PUBLISHING GROUP","2045-435X","2045-4368","HEALTH CARE SCIENCES & SERVICES","SCIE","4,313","2.5"," 94/194 ",
"International Journal of Health Policy and Management","INT J HEALTH POLICY","KERMAN UNIV MEDICAL SCIENCES","N/A","2322-5939","HEALTH CARE SCIENCES & SERVICES","SCIE","4,310","4.9"," 27/194 ",
"JOURNAL OF SCHOOL HEALTH","J SCHOOL HEALTH","WILEY","0022-4391","1746-1561","HEALTH CARE SCIENCES & SERVICES","SCIE","4,246","1.8"," 136/194 ",
"JOURNAL OF MEDICAL ECONOMICS","J MED ECON","TAYLOR & FRANCIS LTD","1369-6998","1941-837X","HEALTH CARE SCIENCES & SERVICES","SCIE","4,043","3.1"," 69/194 ",
"JOURNAL OF RURAL HEALTH","J RURAL HEALTH","WILEY","0890-765X","1748-0361","HEALTH CARE SCIENCES & SERVICES","SCIE","3,956","3.2"," 67/194 ",
"Journal of Managed Care & Specialty Pharmacy","J MANAG CARE SPEC PH","ACAD MANAGED CARE PHARMACY","2376-0540","2376-1032","HEALTH CARE SCIENCES & SERVICES","SCIE","3,917","3.3"," 63/194 ",
"JMIR Serious Games","JMIR SERIOUS GAMES","JMIR PUBLICATIONS, INC","2291-9279","2291-9279","HEALTH CARE SCIENCES & SERVICES","SCIE","3,631","4.7"," 29/194 ",
"Internet Interventions-The Application of Information Technology in Mental and Behavioural Health","INTERNET INTERV","ELSEVIER","N/A","2214-7829","HEALTH CARE SCIENCES & SERVICES","SCIE","3,562","3.8"," 49/194 ",
"INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING","INQUIRY-J HEALTH CAR","SAGE PUBLICATIONS INC","0046-9580","1945-7243","HEALTH CARE SCIENCES & SERVICES","SCIE","3,492","3"," 72/194 ",
"EASTERN MEDITERRANEAN HEALTH JOURNAL","E MEDITERR HEALTH J","WHO EASTERN MEDITERRANEAN REGIONAL OFFICE","1020-3397","1687-1634","HEALTH CARE SCIENCES & SERVICES","SCIE","3,394","1.9"," 128/194 ",
"JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS","J MANIP PHYSIOL THER","MOSBY-ELSEVIER","0161-4754","N/A","HEALTH CARE SCIENCES & SERVICES","SCIE","3,361","1.4"," 153/194 ",
"JMIR Human Factors","JMIR HUM FACTORS","JMIR PUBLICATIONS, INC","2292-9495","2292-9495","HEALTH CARE SCIENCES & SERVICES","ESCI","3,291","3.9"," 46/194 ",
"BMJ Open Quality","BMJ OPEN QUAL","BMJ PUBLISHING GROUP","N/A","2399-6641","HEALTH CARE SCIENCES & SERVICES","ESCI","3,135","2.1"," 117/194 ",
"Expert Review of Pharmacoeconomics & Outcomes Research","EXPERT REV PHARM OUT","TAYLOR & FRANCIS LTD","1473-7167","1744-8379","HEALTH CARE SCIENCES & SERVICES","SCIE","3,071","2.2"," 111/194 ",
"Journal of Patient Safety","J PATIENT SAF","LIPPINCOTT WILLIAMS & WILKINS","1549-8417","1549-8425","HEALTH CARE SCIENCES & SERVICES","SCIE","3,051","1.9"," 128/194 ",
"INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE","INT J TECHNOL ASSESS","CAMBRIDGE UNIV PRESS","0266-4623","1471-6348","HEALTH CARE SCIENCES & SERVICES","SCIE","3,037","3"," 72/194 ",
"International Journal of Integrated Care","INT J INTEGR CARE","UBIQUITY PRESS LTD","1568-4156","1568-4156","HEALTH CARE SCIENCES & SERVICES","SCIE","3,033","2.7"," 82/194 ",
"Patient-Patient Centered Outcomes Research","PATIENT","ADIS INT LTD","1178-1653","1178-1661","HEALTH CARE SCIENCES & SERVICES","SCIE","2,959","4.4"," 36/194 ",
"Journal of Patient-Reported Outcomes","J PATIENT-REP OUTCOM","SPRINGERNATURE","N/A","2509-8020","HEALTH CARE SCIENCES & SERVICES","ESCI","2,912","2.9"," 78/194 ",
"Perspectives on Medical Education","PERSPECT MED EDUC","UBIQUITY PRESS LTD","2212-2761","2212-277X","HEALTH CARE SCIENCES & SERVICES","SCIE","2,881","3.5"," 54/194 ",
"TECHNOLOGY AND HEALTH CARE","TECHNOL HEALTH CARE","SAGE PUBLICATIONS INC","0928-7329","1878-7401","HEALTH CARE SCIENCES & SERVICES","SCIE","2,878","1.3"," 162/194 ",
"Joint Commission Journal on Quality and Patient Safety","JT COMM J QUAL PATIE","ACADEMIC PRESS INC ELSEVIER SCIENCE","1553-7250","1938-131X","HEALTH CARE SCIENCES & SERVICES","ESCI","2,834","3"," 72/194 ",
"Health Informatics Journal","HEALTH INFORM J","SAGE PUBLICATIONS INC","1460-4582","1741-2811","HEALTH CARE SCIENCES & SERVICES","SCIE","2,792","2.2"," 111/194 ",
"Applied Health Economics and Health Policy","APPL HEALTH ECON HEA","SPRINGER INT PUBL AG","1175-5652","1179-1896","HEALTH CARE SCIENCES & SERVICES","SCIE","2,746","3.1"," 69/194 ",
"Implementation Science Communications","IMPLEMENT SCI COMMUN","SPRINGERNATURE","N/A","2662-2211","HEALTH CARE SCIENCES & SERVICES","ESCI","2,723","3.5"," 54/194 ",
"MEDICAL CARE RESEARCH AND REVIEW","MED CARE RES REV","SAGE PUBLICATIONS INC","1077-5587","1552-6801","HEALTH CARE SCIENCES & SERVICES","SCIE","2,687","2.7"," 82/194 ",
"Research Involvement and Engagement","RES INVOLVE ENGAGEM","SPRINGERNATURE","N/A","2056-7529","HEALTH CARE SCIENCES & SERVICES","ESCI","2,678","4.1"," 39/194 ",
"Simulation in Healthcare-Journal of the Society for Simulation in Healthcare","SIMUL HEALTHC","LIPPINCOTT WILLIAMS & WILKINS","1559-2332","1559-713X","HEALTH CARE SCIENCES & SERVICES","SCIE","2,645","2.9"," 78/194 ",
"JAMIA Open","JAMIA OPEN","OXFORD UNIV PRESS","N/A","2574-2531","HEALTH CARE SCIENCES & SERVICES","ESCI","2,643","4.7"," 29/194 ",
"Ethiopian Journal of Health Sciences","ETHIOP J HEALTH SCI","JIMMA UNIV, ETHIOPIA","1029-1857","2413-7170","HEALTH CARE SCIENCES & SERVICES","ESCI","2,593","1.2"," 167/194 ",
"Journal of Patient Experience","J PATIENT EXPERIENCE","SAGE PUBLICATIONS INC","2374-3743","2374-3735","HEALTH CARE SCIENCES & SERVICES","ESCI","2,549","2"," 124/194 ",
"Australian Health Review","AUST HEALTH REV","CSIRO PUBLISHING","0156-5788","1449-8944","HEALTH CARE SCIENCES & SERVICES","SCIE","2,435","1.3"," 162/194 ",
"TEACHING AND LEARNING IN MEDICINE","TEACH LEARN MED","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1040-1334","1532-8015","HEALTH CARE SCIENCES & SERVICES","SCIE","2,331","2.4"," 97/194 ",
"HASTINGS CENTER REPORT","HASTINGS CENT REP","WILEY","0093-0334","1552-146X","HEALTH CARE SCIENCES & SERVICES","SCIE","2,278","2.7"," 82/194 ",
"Gaceta Sanitaria","GAC SANIT","ELSEVIER","0213-9111","1578-1283","HEALTH CARE SCIENCES & SERVICES","SCIE","2,226","1.5"," 148/194 ",
"Journal of Comparative Effectiveness Research","J COMP EFFECT RES","Becaris Publishing","2042-6305","2042-6313","HEALTH CARE SCIENCES & SERVICES","SCIE","2,099","2.8"," 81/194 ",
"SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE","SCAND J PRIM HEALTH","TAYLOR & FRANCIS LTD","0281-3432","1502-7724","HEALTH CARE SCIENCES & SERVICES","SCIE","1,952","1.9"," 128/194 ",
"Lancet Regional Health - Southeast Asia","LANCET REG HLTH-SE A","ELSEVIER","2772-3682","2772-3682","HEALTH CARE SCIENCES & SERVICES","ESCI","1,947","6.4"," 14/194 ",
"Journal of the American Association of Nurse Practitioners","J AM ASSOC NURSE PRA","LIPPINCOTT WILLIAMS & WILKINS","2327-6886","2327-6924","HEALTH CARE SCIENCES & SERVICES","SCIE","1,881","1.4"," 153/194 ",
"JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS","J CONTIN EDUC HEALTH","LIPPINCOTT WILLIAMS & WILKINS","0894-1912","1554-558X","HEALTH CARE SCIENCES & SERVICES","SCIE","1,678","1.8"," 136/194 ",
"ClinicoEconomics and Outcomes Research","CLINICOECONOMIC OUTC","DOVE MEDICAL PRESS LTD","1178-6981","1178-6981","HEALTH CARE SCIENCES & SERVICES","ESCI","1,664","2.6"," 89/194 ",
"EVALUATION & THE HEALTH PROFESSIONS","EVAL HEALTH PROF","SAGE PUBLICATIONS INC","0163-2787","1552-3918","HEALTH CARE SCIENCES & SERVICES","SCIE","1,658","1.9"," 128/194 ",
"BMJ Health & Care Informatics","BMJ HEALTH CARE INFO","BMJ PUBLISHING GROUP","N/A","2632-1009","HEALTH CARE SCIENCES & SERVICES","ESCI","1,626","6.2"," 17/194 ",
"JOURNAL OF HEALTH POLITICS POLICY AND LAW","J HEALTH POLIT POLIC","DUKE UNIV PRESS","0361-6878","N/A","HEALTH CARE SCIENCES & SERVICES","SCIE","1,610","2.7"," 82/194 ",
"Value in Health Regional Issues","VALUE HEALTH REG ISS","ELSEVIER","2212-1099","2212-1099","HEALTH CARE SCIENCES & SERVICES","ESCI","1,587","1.9"," 128/194 ",
"JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH","J BEHAV HEALTH SER R","SPRINGER","1094-3412","1556-3308","HEALTH CARE SCIENCES & SERVICES","SCIE","1,581","1.6"," 142/194 ",
"JOURNAL OF PUBLIC HEALTH POLICY","J PUBLIC HEALTH POL","PALGRAVE MACMILLAN LTD","0197-5897","1745-655X","HEALTH CARE SCIENCES & SERVICES","SCIE","1,565","2.1"," 117/194 ",
"Population Health Management","POPUL HEALTH MANAG","SAGE PUBLICATIONS INC","1942-7891","1942-7905","HEALTH CARE SCIENCES & SERVICES","SCIE","1,563","2.1"," 117/194 ",
"Current Opinion in Supportive and Palliative Care","CURR OPIN SUPPORT PA","LIPPINCOTT WILLIAMS & WILKINS","1751-4258","1751-4266","HEALTH CARE SCIENCES & SERVICES","SCIE","1,562","2.3"," 106/194 ",
"AIMS Public Health","AIMS PUBLIC HEALTH","AMER INST MATHEMATICAL SCIENCES-AIMS","2327-8994","2327-8994","HEALTH CARE SCIENCES & SERVICES","ESCI","1,548","4"," 42/194 ",
"Mayo Clinic Proceedings-Innovations Quality & Outcomes","MAYO CLIN P INN QUAL","ELSEVIER","N/A","2542-4548","HEALTH CARE SCIENCES & SERVICES","ESCI","1,543","4.5"," 34/194 ",
"Indian Journal of Palliative Care","INDIAN J PALLIAT CAR","SCIENTIFIC SCHOLAR LLC","0973-1075","1998-3735","HEALTH CARE SCIENCES & SERVICES","ESCI","1,540","1.8"," 136/194 ",
"Frontiers in Health Services","FRONT HEALTH SERV","FRONTIERS MEDIA SA","N/A","2813-0146","HEALTH CARE SCIENCES & SERVICES","ESCI","1,527","2.6"," 89/194 ",
"METHODS OF INFORMATION IN MEDICINE","METHOD INFORM MED","GEORG THIEME VERLAG KG","0026-1270","2511-705X","HEALTH CARE SCIENCES & SERVICES","SCIE","1,493","2.4"," 97/194 ",
"Australian Journal of Primary Health","AUST J PRIM HEALTH","CSIRO PUBLISHING","1448-7527","1836-7399","HEALTH CARE SCIENCES & SERVICES","SCIE","1,463","1.4"," 153/194 ",
"JOURNAL OF PALLIATIVE CARE","J PALLIAT CARE","SAGE PUBLICATIONS INC","0825-8597","2369-5293","HEALTH CARE SCIENCES & SERVICES","SCIE","1,462","1.6"," 142/194 ",
"BULLETIN OF THE HISTORY OF MEDICINE","B HIST MED","JOHNS HOPKINS UNIV PRESS","0007-5140","1086-3176","HEALTH CARE SCIENCES & SERVICES","SCIE","1,441","0.7"," 179/194 ",
"Health Services Insights","HEALTH SERV INSIGHTS","SAGE PUBLICATIONS INC","1178-6329","1178-6329","HEALTH CARE SCIENCES & SERVICES","ESCI","1,437","2.1"," 117/194 ",
"AMERICAN JOURNAL OF MEDICAL QUALITY","AM J MED QUAL","LIPPINCOTT WILLIAMS & WILKINS","1062-8606","1555-824X","HEALTH CARE SCIENCES & SERVICES","SCIE","1,402","1.1"," 171/194 ",
"HEALTHCARE MANAGEMENT FORUM","HEALTHC MANAG FORUM","SAGE PUBLICATIONS INC","0840-4704","2352-3883","HEALTH CARE SCIENCES & SERVICES","ESCI","1,380","2.4"," 97/194 ",
"Families Systems & Health","FAM SYST HEALTH","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1091-7527","1939-0602","HEALTH CARE SCIENCES & SERVICES","SCIE","1,299","1.2"," 167/194 ",
"Chronic Illness","CHRONIC ILLN","SAGE PUBLICATIONS LTD","1742-3953","1745-9206","HEALTH CARE SCIENCES & SERVICES","SCIE","1,266","1.4"," 153/194 ",
"Advances in Simulation","ADV SIMUL","SPRINGERNATURE","N/A","2059-0628","HEALTH CARE SCIENCES & SERVICES","ESCI","1,246","3.6"," 53/194 ",
"CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS","CAMB Q HEALTHC ETHIC","CAMBRIDGE UNIV PRESS","0963-1801","1469-2147","HEALTH CARE SCIENCES & SERVICES","SCIE","1,230","2.3"," 106/194 ",
"Pharmacoeconomics-Open","PHARMACOECON-OPEN","SPRINGER INT PUBL AG","2509-4262","2509-4254","HEALTH CARE SCIENCES & SERVICES","ESCI","1,214","2.4"," 97/194 ",
"mHealth","MHEALTH","AME PUBLISHING COMPANY","N/A","2306-9740","HEALTH CARE SCIENCES & SERVICES","ESCI","1,195","3.3"," 63/194 ",
"MEDICAL HISTORY","MED HIST","CAMBRIDGE UNIV PRESS","0025-7273","2048-8343","HEALTH CARE SCIENCES & SERVICES","SCIE","1,159","1.1"," 171/194 ",
"NEJM Catalyst Innovations in Care Delivery","NEJM CATAL INNOV CAR","MASSACHUSETTS MEDICAL SOC","N/A","2642-0007","HEALTH CARE SCIENCES & SERVICES","ESCI","1,113","4.4"," 36/194 ",
"Patient-Related Outcome Measures","PATIENT-RELAT OUTCOM","DOVE MEDICAL PRESS LTD","1179-271X","1179-271X","HEALTH CARE SCIENCES & SERVICES","ESCI","1,068","2.4"," 97/194 ",
"Health Affairs Scholar","HLTH AFF SCH","OXFORD UNIV PRESS","N/A","2976-5390","HEALTH CARE SCIENCES & SERVICES","ESCI","1,045","4.1"," 39/194 ",
"JMIR Rehabilitation and Assistive Technologies","JMIR REHABIL ASSIST","JMIR PUBLICATIONS, INC","N/A","2369-2529","HEALTH CARE SCIENCES & SERVICES","ESCI","1,034","3.1"," 69/194 ",
"Health SA Gesondheid","HEALTH SA GESONDHEID","AOSIS","1025-9848","2071-9736","HEALTH CARE SCIENCES & SERVICES","ESCI","1,032","1.3"," 162/194 ",
"Geospatial Health","GEOSPATIAL HEALTH","UNIV NAPLES FEDERICO II","1827-1987","1970-7096","HEALTH CARE SCIENCES & SERVICES","SCIE","989","1.5"," 148/194 ",
"International Journal of Population Data Science (IJPDS)","INT J POPUL DATA SCI","SWANSEA UNIV","N/A","2399-4908","HEALTH CARE SCIENCES & SERVICES","ESCI","944","2.7"," 82/194 ",
"Learning Health Systems","LEARN HEALTH SYST","WILEY","2379-6146","2379-6146","HEALTH CARE SCIENCES & SERVICES","ESCI","928","2.3"," 106/194 ",
"African Journal of Disability","AFR J DISABIL","AOSIS","2223-9170","2226-7220","HEALTH CARE SCIENCES & SERVICES","ESCI","926","1.6"," 142/194 ",
