Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom

Title,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,2025 JIF,JIF Rank
CIRCULATION,CIRCULATION,LIPPINCOTT WILLIAMS & WILKINS,0009-7322,1524-4539,Multiple,SCIE,41.3,3/237
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,Multiple,SCIE,41.3,2/191
JOURNAL OF HEPATOLOGY,J HEPATOL,ELSEVIER,0168-8278,1600-0641,GASTROENTEROLOGY & HEPATOLOGY,SCIE,40.1,2/153
Annual Review of Immunology,ANNU REV IMMUNOL,ANNUAL REVIEWS,0732-0582,1545-3278,IMMUNOLOGY,SCIE,39.8,2/183
Innovation,INNOVATION-AMSTERDAM,CELL PRESS,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES,ESCI,39.5,4/140
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,ELSEVIER INC,N/A,2468-1253,GASTROENTEROLOGY & HEPATOLOGY,SCIE,39.1,3/153
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,NATURE PORTFOLIO,1759-5029,1759-5037,ENDOCRINOLOGY & METABOLISM,SCIE,39.1,1/198
International Journal of Educational Technology in Higher Education,INT J EDUC TECHNOL H,SPRINGER,2365-9440,2365-9440,EDUCATION & EDUCATIONAL RESEARCH,SSCI,38.7,1/760
Nano-Micro Letters,NANO-MICRO LETT,SHANGHAI JIAO TONG UNIV PRESS,2311-6706,2150-5551,Multiple,SCIE,38.5,5/472
REVIEWS OF GEOPHYSICS,REV GEOPHYS,AMER GEOPHYSICAL UNION,8755-1209,1944-9208,GEOCHEMISTRY & GEOPHYSICS,SCIE,38.5,1/103
Nature Photonics,NAT PHOTONICS,NATURE PORTFOLIO,1749-4885,1749-4893,Multiple,SCIE,38.1,1/129
NATURE MATERIALS,NAT MATER,NATURE PORTFOLIO,1476-1122,1476-4660,Multiple,SCIE,38.0,2/191
Nature Nanotechnology,NAT NANOTECHNOL,NATURE PORTFOLIO,1748-3387,1748-3395,Multiple,SCIE,37.5,7/472
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,ANNUAL REVIEWS,0066-4146,1545-4282,ASTRONOMY & ASTROPHYSICS,SCIE,37.3,1/86
Joule,JOULE,CELL PRESS,2542-4351,2542-4351,Multiple,SCIE,37.1,3/191
Cell Metabolism,CELL METAB,CELL PRESS,1550-4131,1932-7420,Multiple,SCIE,37.0,6/207
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,NOW PUBLISHERS INC,1935-8237,1935-8245,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ESCI,36.6,1/210
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,ELSEVIER SCIENCE INC,2213-8587,2213-8595,ENDOCRINOLOGY & METABOLISM,SCIE,36.3,3/198
Physiological Reviews,PHYSIOL REV,AMER PHYSIOLOGICAL SOC,0031-9333,1522-1210,PHYSIOLOGY,SCIE,35.7,1/89
Nature Reviews Electrical Engineering,NAT REV ELECTR ENG,SPRINGERNATURE,N/A,2948-1201,"ENGINEERING, ELECTRICAL & ELECTRONIC",ESCI,34.8,2/369
Lancet Respiratory Medicine,LANCET RESP MED,ELSEVIER SCI LTD,2213-2600,N/A,Multiple,SCIE,34.7,1/66
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,ANNUAL REVIEWS,1553-4006,1553-4014,PATHOLOGY,SCIE,34.5,1/89
LANCET ONCOLOGY,LANCET ONCOL,ELSEVIER SCIENCE INC,1470-2045,1474-5488,ONCOLOGY,SCIE,33.7,9/333
Nature Reviews Rheumatology,NAT REV RHEUMATOL,NATURE PORTFOLIO,1759-4790,1759-4804,RHEUMATOLOGY,SCIE,33.7,1/58
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6700,1873-1619,POLYMER SCIENCE,SCIE,32.8,1/96
Molecular Plant,MOL PLANT,CELL PRESS,1674-2052,1752-9867,Multiple,SCIE,32.7,5/328
Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,2398-9629,2398-9629,Multiple,SCIE,32.1,2/395
eLight,ELIGHT,SPRINGERNATURE,2097-1710,2662-8643,OPTICS,SCIE,31.4,2/129
Nature Reviews Neurology,NAT REV NEUROL,NATURE PORTFOLIO,1759-4758,1759-4766,CLINICAL NEUROLOGY,SCIE,31.2,2/296
CELL RESEARCH,CELL RES,SPRINGERNATURE,1001-0602,1748-7838,CELL BIOLOGY,SCIE,31.1,7/207
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,ELSEVIER SCI LTD,0268-4012,1873-4707,INFORMATION SCIENCE & LIBRARY SCIENCE,SSCI,31.0,1/172
PROCEEDINGS OF THE IEEE,P IEEE,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0018-9219,1558-2256,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,30.9,3/369
Nature Water,NAT WATER,SPRINGERNATURE,N/A,2731-6084,Multiple,SCIE,30.7,3/395
Immunity,IMMUNITY,CELL PRESS,1074-7613,1097-4180,IMMUNOLOGY,SCIE,30.6,3/183
Energy & Environmental Science,ENERG ENVIRON SCI,ROYAL SOC CHEMISTRY,1754-5692,1754-5706,Multiple,SCIE,30.5,4/250
ACM COMPUTING SURVEYS,ACM COMPUT SURV,ASSOC COMPUTING MACHINERY,0360-0300,1557-7341,"COMPUTER SCIENCE, THEORY & METHODS",SCIE,30.4,1/146
Exploration,EXPLORATION-PRC,WILEY,2766-8509,2766-2098,Multiple,ESCI,30.4,9/472
Advances in Optics and Photonics,ADV OPT PHOTONICS,Optica Publishing Group,1943-8206,N/A,OPTICS,SCIE,30.1,3/129
Nature Machine Intelligence,NAT MACH INTELL,NATURE PORTFOLIO,N/A,2522-5839,Multiple,SCIE,29.8,2/210
Gastroenterology,GASTROENTEROLOGY,W B SAUNDERS CO-ELSEVIER INC,0016-5085,1528-0012,GASTROENTEROLOGY & HEPATOLOGY,SCIE,29.7,4/153
Nature Chemical Engineering,NAT CHEM ENG,SPRINGERNATURE,N/A,2948-1198,"ENGINEERING, CHEMICAL",ESCI,29.7,3/183
Cancer Discovery,CANCER DISCOV,AMER ASSOC CANCER RESEARCH,2159-8274,2159-8290,ONCOLOGY,SCIE,29.5,10/333
Lancet Rheumatology,LANCET RHEUMATOL,ELSEVIER,2665-9913,2665-9913,RHEUMATOLOGY,SCIE,29.5,2/58
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,ELSEVIER SCI LTD,1473-3099,1474-4457,INFECTIOUS DISEASES,SCIE,29.4,1/141
Living Reviews in Solar Physics,LIVING REV SOL PHYS,SPRINGER INT PUBL AG,2367-3648,1614-4961,ASTRONOMY & ASTROPHYSICS,SCIE,29.4,2/86
EUROPEAN UROLOGY,EUR UROL,ELSEVIER,0302-2838,1873-7560,UROLOGY & NEPHROLOGY,SCIE,29.1,2/134
ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,Multiple,SCIE,29.1,5/250
Military Medical Research,MILITARY MED RES,KEAI PUBLISHING LTD,2095-7467,2054-9369,"MEDICINE, GENERAL & INTERNAL",SCIE,29.0,6/336
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,NATURE PORTFOLIO,1471-003X,1471-0048,NEUROSCIENCES,SCIE,29.0,1/330
Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,ANNUAL REVIEWS,1947-5454,1947-5462,"PHYSICS, CONDENSED MATTER",SCIE,29.0,3/81
Cancer Communications,CANCER COMMUN,AMER ASSOC ADVANCEMENT SCIENCE,N/A,2523-3548,ONCOLOGY,SCIE,28.4,11/333
NATURE METHODS,NAT METHODS,NATURE PORTFOLIO,1548-7091,1548-7105,BIOCHEMICAL RESEARCH METHODS,SCIE,28.3,1/85
Nature Cancer,NAT CANCER,NATURE PORTFOLIO,N/A,2662-1347,ONCOLOGY,SCIE,28.0,12/333
Nature Metabolism,NAT METAB,NATURE PORTFOLIO,N/A,2522-5812,ENDOCRINOLOGY & METABOLISM,SCIE,27.5,4/198
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,ELSEVIER,0370-1573,1873-6270,"PHYSICS, MULTIDISCIPLINARY",SCIE,27.5,3/112
FUNGAL DIVERSITY,FUNGAL DIVERS,SPRINGER,1560-2745,1878-9129,MYCOLOGY,SCIE,27.0,1/33
Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,1758-678X,1758-6798,Multiple,SCIE,26.9,5/395
Opto-Electronic Science,OPTO-ELECTRON SCI,"CAS, INST OPTICS & ELECTRONICS, ED OFF OPTO-ELECTRONIC JOURNALS",2097-0382,2097-4000,OPTICS,ESCI,26.9,4/129
Advanced Powder Materials,ADV POWDER MATER,KEAI PUBLISHING LTD,N/A,2772-834X,Multiple,ESCI,26.8,5/191
Lancet Public Health,LANCET PUBLIC HEALTH,ELSEVIER SCI LTD,2468-2667,2468-2667,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI",26.5,3/443
NATURE IMMUNOLOGY,NAT IMMUNOL,NATURE PORTFOLIO,1529-2908,1529-2916,IMMUNOLOGY,SCIE,26.5,4/183
Annual Review of Plant Biology,ANNU REV PLANT BIOL,ANNUAL REVIEWS,1543-5008,1545-2123,PLANT SCIENCES,SCIE,26.4,2/285
JAMA Internal Medicine,JAMA INTERN MED,AMER MEDICAL ASSOC,2168-6106,2168-6114,"MEDICINE, GENERAL & INTERNAL",SCIE,26.3,7/336
Nature Biomedical Engineering,NAT BIOMED ENG,NATURE PORTFOLIO,2157-846X,2157-846X,"ENGINEERING, BIOMEDICAL",SCIE,26.3,2/130
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,ANNUAL REVIEWS,0066-4189,1545-4479,Multiple,SCIE,26.1,1/172
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,ELSEVIER SCIENCE SA,0010-8545,1873-3840,"CHEMISTRY, INORGANIC & NUCLEAR",SCIE,25.6,1/45
NATURE GENETICS,NAT GENET,NATURE PORTFOLIO,1061-4036,1546-1718,GENETICS & HEREDITY,SCIE,25.5,2/192
Science Robotics,SCI ROBOT,AMER ASSOC ADVANCEMENT SCIENCE,2470-9476,2470-9476,ROBOTICS,SCIE,25.5,1/48
Lancet Digital Health,LANCET DIGIT HEALTH,ELSEVIER,N/A,2589-7500,Multiple,SCIE,25.5,1/54
Advanced Energy Materials,ADV ENERGY MATER,WILEY-V C H VERLAG GMBH,1614-6832,1614-6840,Multiple,SCIE,25.5,6/191
TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,CELL PRESS,0962-8924,1879-3088,CELL BIOLOGY,SCIE,25.3,8/207
Journal of the National Cancer Center,J NATL CANCER CTR,ELSEVIER,2667-0054,2667-0054,ONCOLOGY,ESCI,25.2,13/333
Environmental Chemistry Letters,ENVIRON CHEM LETT,SPRINGER BASEL AG,1610-3653,1610-3661,Multiple,SCIE,25.2,6/250
International Journal of Extreme Manufacturing,INT J EXTREME MANUF,IOP Publishing Ltd,2631-8644,2631-7990,Multiple,SCIE,25.1,1/71
Nature Aging,NATURE AGING,SPRINGERNATURE,N/A,2662-8465,Multiple,SCIE,25.0,9/207
Annual Review of Biochemistry,ANNU REV BIOCHEM,ANNUAL REVIEWS,0066-4154,1545-4509,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,24.9,6/328
Nature Food,NAT FOOD,NATURE PORTFOLIO,N/A,2662-1355,FOOD SCIENCE & TECHNOLOGY,SCIE,24.7,1/187
GUT,GUT,BMJ PUBLISHING GROUP,0017-5749,1468-3288,GASTROENTEROLOGY & HEPATOLOGY,SCIE,24.6,5/153
Nature Chemistry,NAT CHEM,NATURE PORTFOLIO,1755-4330,1755-4349,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,24.5,7/250
PROGRESS IN AEROSPACE SCIENCES,PROG AEROSP SCI,PERGAMON-ELSEVIER SCIENCE LTD,0376-0421,1873-1724,"ENGINEERING, AEROSPACE",SCIE,24.2,1/59
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INT J MACH TOOL MANU,ELSEVIER SCI LTD,0890-6955,1879-2170,Multiple,SCIE,24.1,2/71
Materials Today,MATER TODAY,ELSEVIER SCI LTD,1369-7021,1873-4103,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,24.1,14/472
ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,ELSEVIER,0003-4967,1468-2060,RHEUMATOLOGY,SCIE,24.0,3/58
Light-Science & Applications,LIGHT-SCI APPL,SPRINGERNATURE,2095-5545,2047-7538,OPTICS,SCIE,24.0,5/129
TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,CELL PRESS,0165-6147,1873-3735,PHARMACOLOGY & PHARMACY,SCIE,24.0,2/356
JAMA Oncology,JAMA ONCOL,AMER MEDICAL ASSOC,2374-2437,2374-2445,ONCOLOGY,SCIE,23.9,14/333
BLOOD,BLOOD,ELSEVIER,0006-4971,1528-0020,HEMATOLOGY,SCIE,23.9,2/103
Cellular & Molecular Immunology,CELL MOL IMMUNOL,CHIN SOCIETY IMMUNOLOGY,1672-7681,2042-0226,IMMUNOLOGY,SCIE,23.9,5/183
ENDOCRINE REVIEWS,ENDOCR REV,ENDOCRINE SOC,0163-769X,1945-7189,ENDOCRINOLOGY & METABOLISM,SCIE,23.9,5/198
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,EUROPEAN RESPIRATORY SOC JOURNALS LTD,0903-1936,1399-3003,RESPIRATORY SYSTEM,SCIE,23.8,2/107
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,ELSEVIER,0001-8686,1873-3727,"CHEMISTRY, PHYSICAL",SCIE,23.7,7/191
JAMA Neurology,JAMA NEUROL,AMER MEDICAL ASSOC,2168-6149,2168-6157,CLINICAL NEUROLOGY,SCIE,23.6,3/296
Bioactive Materials,BIOACT MATER,KEAI PUBLISHING LTD,N/A,2452-199X,Multiple,SCIE,23.6,3/130
Computers and Education: Artificial Intelligence,COMPUT EDUC-ARTIF IN,ELSEVIER,2666-920X,2666-920X,Multiple,ESCI,23.4,3/210
Journal of Thoracic Oncology,J THORAC ONCOL,ELSEVIER SCIENCE INC,1556-0864,1556-1380,Multiple,SCIE,23.3,15/333
Cell Stem Cell,CELL STEM CELL,CELL PRESS,1934-5909,1875-9777,Multiple,SCIE,23.3,1/32
Cell Host & Microbe,CELL HOST MICROBE,CELL PRESS,1931-3128,1934-6069,Multiple,SCIE,23.2,3/167
Responsive Materials,RESPONSIVE MATER,WILEY,2834-894X,2834-8966,Multiple,ESCI,22.9,8/250
NATURE CELL BIOLOGY,NAT CELL BIOL,NATURE PORTFOLIO,1465-7392,1476-4679,CELL BIOLOGY,SCIE,22.7,11/207
Advanced Fiber Materials,ADV FIBER MATER,SPRINGERNATURE,2524-7921,2524-793X,Multiple,SCIE,22.6,16/472
DIABETES CARE,DIABETES CARE,AMER DIABETES ASSOC,0149-5992,1935-5548,ENDOCRINOLOGY & METABOLISM,SCIE,22.6,6/198
Nature Synthesis,NAT SYNTH,SPRINGERNATURE,N/A,2731-0582,"CHEMISTRY, MULTIDISCIPLINARY",ESCI,22.6,9/250
CANCER RESEARCH,CANCER RES,AMER ASSOC CANCER RESEARCH,0008-5472,1538-7445,ONCOLOGY,SCIE,22.6,16/333
Nano Research Energy,NANO RES ENERGY,TSINGHUA UNIV PRESS,2791-0091,2790-8119,Multiple,ESCI,22.6,6/191
Lancet Global Health,LANCET GLOB HEALTH,ELSEVIER SCI LTD,2214-109X,2214-109X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI",22.5,4/443
Annual Review of Marine Science,ANNU REV MAR SCI,ANNUAL REVIEWS,1941-1405,1941-0611,Multiple,SCIE,22.5,2/103
Interdisciplinary Materials,INTERD MATER,WILEY,2767-4401,2767-441X,Multiple,ESCI,22.5,8/191
Opto-Electronic Advances,OPTO-ELECTRON ADV,"CAS, INST OPTICS & ELECTRONICS, ED OFF OPTO-ELECTRONIC JOURNALS",2096-4579,2097-3993,OPTICS,SCIE,22.4,6/129
JACC-Journal of the American College of Cardiology,J AM COLL CARDIOL,ELSEVIER SCIENCE INC,0735-1097,1558-3597,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,22.3,4/237
DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,CHURCHILL LIVINGSTONE,1368-7646,1532-2084,PHARMACOLOGY & PHARMACY,SCIE,22.0,3/356
Nature Reviews Psychology,NAT REV PSYCHOL,SPRINGERNATURE,N/A,2731-0574,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,22.0,2/222
INTENSIVE CARE MEDICINE,INTENS CARE MED,SPRINGER,0342-4642,1432-1238,CRITICAL CARE MEDICINE,SCIE,22.0,2/66
Lancet Microbe,LANCET MICROBE,ELSEVIER,N/A,2666-5247,Multiple,SCIE,21.9,2/141
KIDNEY INTERNATIONAL,KIDNEY INT,ELSEVIER SCIENCE INC,0085-2538,1523-1755,UROLOGY & NEPHROLOGY,SCIE,21.8,3/134
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,OXFORD UNIV PRESS,1073-449X,1535-4970,Multiple,SCIE,21.7,3/66
Clinical and Molecular Hepatology,CLIN MOL HEPATOL,KOREAN ASSOC STUDY LIVER,2287-2728,2287-285X,GASTROENTEROLOGY & HEPATOLOGY,SCIE,21.7,6/153
Journal of Extracellular Vesicles,J EXTRACELL VESICLES,WILEY,N/A,2001-3078,CELL BIOLOGY,SCIE,21.7,12/207
Trends in Cancer,TRENDS CANCER,CELL PRESS,2405-8033,2405-8025,ONCOLOGY,SCIE,21.6,17/333
Green Energy and Intelligent Transportation,GREEN ENERGY INTELL,ELSEVIER,2097-2512,2773-1537,TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,21.5,1/80
Carbon Neutralization,CARBON NEUTRALIZAT,WILEY,2769-3333,2769-3325,Multiple,ESCI,21.5,2/114
Carbon Energy,CARBON ENERGY,WILEY,N/A,2637-9368,Multiple,SCIE,21.4,9/191
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,CELL PRESS,1360-1385,1878-4372,PLANT SCIENCES,SCIE,21.2,3/285
Lancet Psychiatry,LANCET PSYCHIAT,ELSEVIER SCI LTD,2215-0366,2215-0374,PSYCHIATRY,"SCIE, SSCI",21.1,2/293
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,ELSEVIER SCIENCE SA,0927-796X,1879-212X,Multiple,SCIE,21.1,20/472
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,ELSEVIER,0169-409X,1872-8294,PHARMACOLOGY & PHARMACY,SCIE,21.0,4/356
