"Journal Data Filtered By:  Selected Categories: MEDICINE, GENERAL & INTERNAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"European Journal of Internal Medicine","EUR J INTERN MED","ELSEVIER","0953-6205","1879-0828","MEDICINE, GENERAL & INTERNAL","SCIE","10,443","8.1"," 24/336 ",
"JOURNAL OF KOREAN MEDICAL SCIENCE","J KOREAN MED SCI","KOREAN ACAD MEDICAL SCIENCES","1011-8934","1598-6357","MEDICINE, GENERAL & INTERNAL","SCIE","10,211","3.2"," 68/336 ",
"International Journal of Medical Sciences","INT J MED SCI","IVYSPRING INT PUBL","1449-1907","1449-1907","MEDICINE, GENERAL & INTERNAL","SCIE","9,910","3.7"," 63/336 ",
"JOURNAL OF WOMENS HEALTH","J WOMENS HEALTH","SAGE PUBLICATIONS INC","1540-9996","1931-843X","MEDICINE, GENERAL & INTERNAL","SCIE","9,072","1.8"," 127/336 ",
"PALLIATIVE MEDICINE","PALLIATIVE MED","SAGE PUBLICATIONS LTD","0269-2163","1477-030X","MEDICINE, GENERAL & INTERNAL","SCIE","9,020","6.4"," 30/336 ",
"EUROPEAN JOURNAL OF CLINICAL INVESTIGATION","EUR J CLIN INVEST","WILEY","0014-2972","1365-2362","MEDICINE, GENERAL & INTERNAL","SCIE","8,955","4.1"," 53/336 ",
"International Journal of General Medicine","INT J GEN MED","DOVE MEDICAL PRESS LTD","N/A","1178-7074","MEDICINE, GENERAL & INTERNAL","SCIE","8,755","2.3"," 99/336 ",
"MILITARY MEDICINE","MIL MED","OXFORD UNIV PRESS","0026-4075","1930-613X","MEDICINE, GENERAL & INTERNAL","SCIE","8,563","1.2"," 167/336 ",
"CURRENT MEDICAL RESEARCH AND OPINION","CURR MED RES OPIN","TAYLOR & FRANCIS LTD","0300-7995","1473-4877","MEDICINE, GENERAL & INTERNAL","SCIE","8,194","2.8"," 80/336 ",
"Internal Medicine","INTERNAL MED","JAPAN SOC INTERNAL MEDICINE","0918-2918","1349-7235","MEDICINE, GENERAL & INTERNAL","SCIE","8,077","1"," 186/336 ",
"INDIAN JOURNAL OF MEDICAL RESEARCH","INDIAN J MED RES","SCIENTIFIC SCHOLAR LLC","0971-5916","0971-5916","MEDICINE, GENERAL & INTERNAL","SCIE","8,065","2.1"," 107/336 ",
"INTERNATIONAL JOURNAL OF CLINICAL PRACTICE","INT J CLIN PRACT","WILEY","1368-5031","1742-1241","MEDICINE, GENERAL & INTERNAL","SCIE","7,911","2"," 113/336 ",
"Patient Preference and Adherence","PATIENT PREFER ADHER","DOVE MEDICAL PRESS LTD","1177-889X","N/A","MEDICINE, GENERAL & INTERNAL","SCIE","7,713","2.6"," 90/336 ",
"Military Medical Research","MILITARY MED RES","KEAI PUBLISHING LTD","2095-7467","2054-9369","MEDICINE, GENERAL & INTERNAL","SCIE","7,682","29"," 6/336 ",
"Translational Research","TRANSL RES","ELSEVIER SCIENCE INC","1931-5244","1878-1810","MEDICINE, GENERAL & INTERNAL","SCIE","7,610","6.1"," 31/336 ",
"POSTGRADUATE MEDICAL JOURNAL","POSTGRAD MED J","OXFORD UNIV PRESS","0032-5473","1469-0756","MEDICINE, GENERAL & INTERNAL","SCIE","7,343","3.6"," 64/336 ",
"ANNALS OF FAMILY MEDICINE","ANN FAM MED","ANNALS FAMILY MEDICINE","1544-1709","1544-1717","MEDICINE, GENERAL & INTERNAL","SCIE","6,900","5.3"," 38/336 ",
"MEDICAL CLINICS OF NORTH AMERICA","MED CLIN N AM","W B SAUNDERS CO-ELSEVIER INC","0025-7125","1557-9859","MEDICINE, GENERAL & INTERNAL","SCIE","6,839","4.5"," 49/336 ",
"AMERICAN JOURNAL OF CHINESE MEDICINE","AM J CHINESE MED","WORLD SCIENTIFIC PUBL CO PTE LTD","0192-415X","1793-6853","MEDICINE, GENERAL & INTERNAL","SCIE","6,797","7.8"," 25/336 ",
"JOURNAL OF EVALUATION IN CLINICAL PRACTICE","J EVAL CLIN PRACT","WILEY","1356-1294","1365-2753","MEDICINE, GENERAL & INTERNAL","SCIE","6,609","1.5"," 148/336 ",
"QJM-AN INTERNATIONAL JOURNAL OF MEDICINE","QJM-INT J MED","OXFORD UNIV PRESS","1460-2725","1460-2393","MEDICINE, GENERAL & INTERNAL","SCIE","6,592","8.9"," 20/336 ",
"JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION","J FORMOS MED ASSOC","ELSEVIER TAIWAN","0929-6646","1876-0821","MEDICINE, GENERAL & INTERNAL","SCIE","6,392","2.8"," 80/336 ",
"BRITISH MEDICAL BULLETIN","BRIT MED BULL","OXFORD UNIV PRESS","0007-1420","1471-8391","MEDICINE, GENERAL & INTERNAL","SCIE","6,305","7.5"," 27/336 ",
"AMERICAN JOURNAL OF THE MEDICAL SCIENCES","AM J MED SCI","ELSEVIER SCIENCE INC","0002-9629","1538-2990","MEDICINE, GENERAL & INTERNAL","SCIE","6,305","2.4"," 94/336 ",
"Pakistan Journal of Medical Sciences","PAK J MED SCI","PROFESSIONAL MEDICAL PUBLICATIONS","1682-024X","1681-715X","MEDICINE, GENERAL & INTERNAL","SCIE","6,304","1.6"," 139/336 ",
"Health Science Reports","HEALTH SCI REP-US","WILEY","N/A","2398-8835","MEDICINE, GENERAL & INTERNAL","ESCI","6,291","2.9"," 75/336 ",
"JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE","J URBAN HEALTH","SPRINGER","1099-3460","1468-2869","MEDICINE, GENERAL & INTERNAL","SCIE","6,263","3.2"," 68/336 ",
"CLINICAL MEDICINE","CLIN MED","ROY COLL PHYS LONDON EDITORIAL OFFICE","1470-2118","1473-4893","MEDICINE, GENERAL & INTERNAL","SCIE","6,122","3.9"," 59/336 ",
"Archives of Medical Science","ARCH MED SCI","TERMEDIA PUBLISHING HOUSE LTD","1734-1922","1896-9151","MEDICINE, GENERAL & INTERNAL","SCIE","5,892","3.6"," 64/336 ",
"Internal and Emergency Medicine","INTERN EMERG MED","SPRINGER-VERLAG ITALIA SRL","1828-0447","1970-9366","MEDICINE, GENERAL & INTERNAL","SCIE","5,859","4.1"," 53/336 ",
"Clinics","CLINICS","ELSEVIER ESPANA","1807-5932","1980-5322","MEDICINE, GENERAL & INTERNAL","SCIE","5,763","2.4"," 94/336 ",
"FAMILY PRACTICE","FAM PRACT","OXFORD UNIV PRESS","0263-2136","1460-2229","MEDICINE, GENERAL & INTERNAL","SCIE","5,522","1.9"," 123/336 ",
"SAGE Open Medicine","SAGE OPEN MED","SAGE PUBLICATIONS INC","2050-3121","2050-3121","MEDICINE, GENERAL & INTERNAL","ESCI","5,517","2.2"," 104/336 ",
"INTERNAL MEDICINE JOURNAL","INTERN MED J","WILEY","1444-0903","1445-5994","MEDICINE, GENERAL & INTERNAL","SCIE","5,487","1.8"," 127/336 ",
"YONSEI MEDICAL JOURNAL","YONSEI MED J","YONSEI UNIV COLL MEDICINE","0513-5796","1976-2437","MEDICINE, GENERAL & INTERNAL","SCIE","5,329","3.1"," 71/336 ",
"JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","J ROY SOC MED","SAGE PUBLICATIONS LTD","0141-0768","1758-1095","MEDICINE, GENERAL & INTERNAL","SCIE","5,242","5.9"," 33/336 ",
"AMERICAN JOURNAL OF MANAGED CARE","AM J MANAG CARE","MANAGED CARE & HEALTHCARE COMMUNICATIONS LLC","1088-0224","N/A","MEDICINE, GENERAL & INTERNAL","SCIE","5,205","2.1"," 107/336 ",
"JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION","J PAK MED ASSOC","PAKISTAN MEDICAL ASSOC","0030-9982","0030-9982","MEDICINE, GENERAL & INTERNAL","SCIE","5,183","0.8"," 205/336 ",
"SAUDI MEDICAL JOURNAL","SAUDI MED J","SAUDI MED J","0379-5284","1658-3175","MEDICINE, GENERAL & INTERNAL","SCIE","5,093","2.1"," 107/336 ",
"Journal of Medical Case Reports","J MED CASE REP","BMC","N/A","1752-1947","MEDICINE, GENERAL & INTERNAL","ESCI","4,940","0.8"," 205/336 ",
"CANADIAN FAMILY PHYSICIAN","CAN FAM PHYSICIAN","COLL FAMILY PHYSICIANS CANADA","0008-350X","1715-5258","MEDICINE, GENERAL & INTERNAL","SCIE","4,822","3.8"," 61/336 ",
"Clinical Case Reports","CLIN CASE REP","WILEY","2050-0904","2050-0904","MEDICINE, GENERAL & INTERNAL","ESCI","4,736","0.6"," 227/336 ",
"IRISH JOURNAL OF MEDICAL SCIENCE","IRISH J MED SCI","SPRINGER LONDON LTD","0021-1265","1863-4362","MEDICINE, GENERAL & INTERNAL","SCIE","4,532","2"," 113/336 ",
"Journal of the American Board of Family Medicine","J AM BOARD FAM MED","AMER BOARD FAMILY MEDICINE","1557-2625","1558-7118","MEDICINE, GENERAL & INTERNAL","SCIE","4,507","2.3"," 99/336 ",
"NEJM Evidence","NEJM EVID","MASSACHUSETTS MEDICAL SOC","N/A","2766-5526","MEDICINE, GENERAL & INTERNAL","ESCI","4,480","11.6"," 13/336 ",
"SINGAPORE MEDICAL JOURNAL","SINGAP MED J","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0037-5675","2737-5935","MEDICINE, GENERAL & INTERNAL","SCIE","4,404","2.7"," 85/336 ",
"African Health Sciences","AFR HEALTH SCI","MAKERERE UNIV, COLL HEALTH SCIENCES,SCH MED","1680-6905","1729-0503","MEDICINE, GENERAL & INTERNAL","SCIE","4,369","0.9"," 195/336 ",
"Journal of Hospital Medicine","J HOSP MED","WILEY","1553-5592","1553-5606","MEDICINE, GENERAL & INTERNAL","SCIE","4,255","1.8"," 127/336 ",
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","OXFORD UNIV PRESS INC","1195-1982","1708-8305","MEDICINE, GENERAL & INTERNAL","SCIE","4,177","5.5"," 37/336 ",
"POSTGRADUATE MEDICINE","POSTGRAD MED","TAYLOR & FRANCIS LTD","0032-5481","1941-9260","MEDICINE, GENERAL & INTERNAL","SCIE","4,155","2.7"," 85/336 ",
"SAMJ SOUTH AFRICAN MEDICAL JOURNAL","SAMJ S AFR MED J","SA MEDICAL ASSOC","0256-9574","2078-5135","MEDICINE, GENERAL & INTERNAL","SCIE","4,150","1.4"," 152/336 ",
"JOURNAL OF MEDICAL ECONOMICS","J MED ECON","TAYLOR & FRANCIS LTD","1369-6998","1941-837X","MEDICINE, GENERAL & INTERNAL","SCIE","4,043","3.1"," 71/336 ",
"Turkish Journal Of Medical Sciences","TURK J MED SCI","Tubitak Scientific & Technological Research Council Turkey","1300-0144","1303-6165","MEDICINE, GENERAL & INTERNAL","SCIE","4,011","1.4"," 152/336 ",
"MEDICINA CLINICA","MED CLIN-BARCELONA","ELSEVIER ESPANA SLU","0025-7753","1578-8989","MEDICINE, GENERAL & INTERNAL","SCIE","3,999","2.8"," 80/336 ",
"JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION","J NATL MED ASSOC","ELSEVIER SCIENCE INC","0027-9684","1943-4693","MEDICINE, GENERAL & INTERNAL","SCIE","3,998","2.3"," 99/336 ",
"SWISS MEDICAL WEEKLY","SWISS MED WKLY","SMW supporting association","1424-7860","1424-3997","MEDICINE, GENERAL & INTERNAL","SCIE","3,829","1.6"," 139/336 ",
"Revista da Associacao Medica Brasileira","REV ASSOC MED BRAS","ASSOC MEDICA BRASILEIRA","0104-4230","1806-9282","MEDICINE, GENERAL & INTERNAL","SCIE","3,765","1.6"," 139/336 ",
"International Journal of Preventive Medicine","INT J PREVENTIVE MED","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2008-7802","2008-8213","MEDICINE, GENERAL & INTERNAL","ESCI","3,756","1.8"," 127/336 ",
"KOREAN JOURNAL OF INTERNAL MEDICINE","KOREAN J INTERN MED","KOREAN ASSOC INTERNAL MEDICINE","1226-3303","2005-6648","MEDICINE, GENERAL & INTERNAL","SCIE","3,664","2.2"," 104/336 ",
"BMC Primary Care","BMC PRIM CARE","BMC","N/A","2731-4553","MEDICINE, GENERAL & INTERNAL","SCIE","3,510","2.9"," 75/336 ",
"SOUTHERN MEDICAL JOURNAL","SOUTH MED J","LIPPINCOTT WILLIAMS & WILKINS","0038-4348","1541-8243","MEDICINE, GENERAL & INTERNAL","SCIE","3,509","0.9"," 195/336 ",
"Journal of Research in Medical Sciences","J RES MED SCI","WOLTERS KLUWER MEDKNOW PUBLICATIONS","1735-1995","1735-7136","MEDICINE, GENERAL & INTERNAL","SCIE","3,497","1.7"," 135/336 ",
"Journal of the Chinese Medical Association","J CHIN MED ASSOC","LIPPINCOTT WILLIAMS & WILKINS","1726-4901","1728-7731","MEDICINE, GENERAL & INTERNAL","SCIE","3,478","2.3"," 99/336 ",
"TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE","TOHOKU J EXP MED","TOHOKU UNIV MEDICAL PRESS","0040-8727","1349-3329","MEDICINE, GENERAL & INTERNAL","SCIE","3,391","1.5"," 148/336 ",
"Medical Sciences","MED SCI-BASEL","MDPI","N/A","2076-3271","MEDICINE, GENERAL & INTERNAL","ESCI","3,390","5.9"," 33/336 ",
"MEDICAL PRINCIPLES AND PRACTICE","MED PRIN PRACT","KARGER","1011-7571","1423-0151","MEDICINE, GENERAL & INTERNAL","SCIE","3,340","2.7"," 85/336 ",
"WIENER KLINISCHE WOCHENSCHRIFT","WIEN KLIN WOCHENSCHR","SPRINGER WIEN","0043-5325","1613-7671","MEDICINE, GENERAL & INTERNAL","SCIE","3,304","2.6"," 90/336 ",
"American Journal of Case Reports","AM J CASE REP","INT SCIENTIFIC INFORMATION, INC","N/A","1941-5923","MEDICINE, GENERAL & INTERNAL","ESCI","3,246","0.8"," 205/336 ",
"JCPSP-Journal of the College of Physicians and Surgeons Pakistan","JCPSP-J COLL PHYSICI","COLL PHYSICIANS & SURGEONS PAKISTAN","1022-386X","1681-7168","MEDICINE, GENERAL & INTERNAL","SCIE","3,213","1.1"," 180/336 ",
"BMJ Open Quality","BMJ OPEN QUAL","BMJ PUBLISHING GROUP","N/A","2399-6641","MEDICINE, GENERAL & INTERNAL","ESCI","3,135","2.1"," 107/336 ",
"Nigerian Journal of Clinical Practice","NIGER J CLIN PRACT","WOLTERS KLUWER MEDKNOW PUBLICATIONS","1119-3077","2229-7731","MEDICINE, GENERAL & INTERNAL","SCIE","3,106","0.9"," 195/336 ",
"NEW ZEALAND MEDICAL JOURNAL","NEW ZEAL MED J","NEW ZEALAND MEDICAL ASSOC","0028-8446","1175-8716","MEDICINE, GENERAL & INTERNAL","ESCI","3,008","1.2"," 167/336 ",
"CLEVELAND CLINIC JOURNAL OF MEDICINE","CLEV CLIN J MED","CLEVELAND CLINIC","0891-1150","1939-2869","MEDICINE, GENERAL & INTERNAL","SCIE","2,974","5.2"," 41/336 ",
"JOURNAL OF INVESTIGATIVE MEDICINE","J INVEST MED","SAGE PUBLICATIONS LTD","1081-5589","1708-8267","MEDICINE, GENERAL & INTERNAL","SCIE","2,921","1.9"," 123/336 ",
"Open Medicine","OPEN MED-WARSAW","DE GRUYTER POLAND SP Z O O","2391-5463","2391-5463","MEDICINE, GENERAL & INTERNAL","SCIE","2,892","1.8"," 127/336 ",
"FAMILY MEDICINE","FAM MED","SOC TEACHERS FAMILY MEDICINE","0742-3225","1938-3800","MEDICINE, GENERAL & INTERNAL","SCIE","2,811","2"," 113/336 ",
"BMJ Evidence-Based Medicine","BMJ EVID-BASED MED","BMJ PUBLISHING GROUP","2515-446X","2515-4478","MEDICINE, GENERAL & INTERNAL","SCIE","2,777","10.8"," 15/336 ",
"PRIMARY CARE","PRIMARY CARE","W B SAUNDERS CO-ELSEVIER INC","0095-4543","1558-299X","MEDICINE, GENERAL & INTERNAL","SCIE","2,740","4.1"," 53/336 ",
"Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej","POL ARCH INTERN MED","MEDYCYNA PRAKTYCZNA SP K SP ZOO","0032-3772","1897-9483","MEDICINE, GENERAL & INTERNAL","SCIE","2,653","4.8"," 46/336 ",
"ANNALS ACADEMY OF MEDICINE SINGAPORE","ANN ACAD MED SINGAP","ACAD MEDICINE SINGAPORE","N/A","2972-4066","MEDICINE, GENERAL & INTERNAL","SCIE","2,573","2.9"," 75/336 ",
"AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS","AMYLOID","TAYLOR & FRANCIS LTD","1350-6129","1744-2818","MEDICINE, GENERAL & INTERNAL","SCIE","2,531","5.1"," 42/336 ",
"Bratislava Medical Journal","BRATISL MED J","SPRINGERNATURE","0006-9248","1336-0345","MEDICINE, GENERAL & INTERNAL","SCIE","2,432","1.4"," 152/336 ",
"ANNALS OF SAUDI MEDICINE","ANN SAUDI MED","K FAISAL SPEC HOSP RES CENTRE","0256-4947","1319-9226","MEDICINE, GENERAL & INTERNAL","SCIE","2,424","1.8"," 127/336 ",
"Archives of Iranian Medicine","ARCH IRAN MED","ACAD MEDICAL SCIENCES I R IRAN","1029-2977","1735-3947","MEDICINE, GENERAL & INTERNAL","SCIE","2,306","1.2"," 167/336 ",
"BRITISH JOURNAL OF HOSPITAL MEDICINE","BRIT J HOSP MED","IMR PRESS","1750-8460","1759-7390","MEDICINE, GENERAL & INTERNAL","SCIE","2,284","1.7"," 135/336 ",
"Presse Medicale","PRESSE MED","MASSON EDITEUR","0755-4982","2213-0276","MEDICINE, GENERAL & INTERNAL","SCIE","2,271","5"," 44/336 ",
"ISRAEL MEDICAL ASSOCIATION JOURNAL","ISR MED ASSOC J","ISRAEL MEDICAL ASSOC JOURNAL","1565-1088","1565-1088","MEDICINE, GENERAL & INTERNAL","SCIE","2,247","0.8"," 205/336 ",
"Journal of Taibah University Medical Sciences","J TAIBAH UNIV MED SC","ELSEVIER","1658-3612","1658-3612","MEDICINE, GENERAL & INTERNAL","ESCI","2,213","2.7"," 85/336 ",
"Journal of Translational Internal Medicine","J TRANSL INTERN MED","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","2450-131X","2224-4018","MEDICINE, GENERAL & INTERNAL","SCIE","2,111","12.5"," 11/336 ",
"Iranian Red Crescent Medical Journal","IRAN RED CRESCENT ME","Dubai Iranian Hosp","2074-1804","2074-1812","MEDICINE, GENERAL & INTERNAL","SCIE","2,057","0.2"," 292/336 ",
"REVISTA MEDICA DE CHILE","REV MED CHILE","SOC MEDICA SANTIAGO","0034-9887","0717-6163","MEDICINE, GENERAL & INTERNAL","SCIE","2,038","0.4"," 257/336 ",
"Clinics and Practice","CLINICS PRACT","MDPI","2039-7275","2039-7283","MEDICINE, GENERAL & INTERNAL","ESCI","1,997","2.8"," 80/336 ",
"European Journal of General Practice","EUR J GEN PRACT","TAYLOR & FRANCIS LTD","1381-4788","1751-1402","MEDICINE, GENERAL & INTERNAL","SCIE","1,990","2.7"," 85/336 ",
"CROATIAN MEDICAL JOURNAL","CROAT MED J","MEDICINSKA NAKLADA","0353-9504","1332-8166","MEDICINE, GENERAL & INTERNAL","SCIE","1,958","2.1"," 107/336 ",
"SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE","SCAND J PRIM HEALTH","TAYLOR & FRANCIS LTD","0281-3432","1502-7724","MEDICINE, GENERAL & INTERNAL","SCIE","1,952","1.9"," 123/336 ",
"Sexual Medicine","SEX MED-UK","OXFORD UNIV PRESS","N/A","2050-1161","MEDICINE, GENERAL & INTERNAL","SCIE","1,870","2.4"," 94/336 ",
"Ochsner Journal","OCHSNER J","OCHSNER CLINIC","1524-5012","2831-4107","MEDICINE, GENERAL & INTERNAL","ESCI","1,870","1.5"," 148/336 ",
"HONG KONG MEDICAL JOURNAL","HONG KONG MED J","HONG KONG ACAD MEDICINE PRESS","1024-2708","1024-2708","MEDICINE, GENERAL & INTERNAL","SCIE","1,854","3"," 73/336 ",
"Australian Journal of General Practice","AUST J GEN PRACT","ROYAL AUSTRALIAN COLLEGE GENERAL PRACTITIONERS","2208-794X","2208-7958","MEDICINE, GENERAL & INTERNAL","SCIE","1,832","2"," 113/336 ",
